"Species","L.Occ","R.Occ","Fire.Included","Type","deltaAIC","Weight","Rsquared","Intercept","Data.Type","Elevation.m","Fires","Data.Type.Elevation.m","Elevation.m.Fires","Data.Type.Fires","Elevation.m2","Data.Type.Elevation.m2","Elevation.m2.Fires","Data.Type.Elevation.m.Fires","Data.Type.Elevation.m2.Fires"
"POMU",20,15,"No","Unavg",1.65864320060854,0.218996761254359,0.199155066978808,0.726999078449099,NA,-0.00546131181563946,NA,NA,NA,NA,8.61686196211716e-07,NA,NA,NA,NA
"POMU",20,15,"No","Avg",NA,NA,NA,0.415050120669859,-0.0925632892037649,-0.00439971511927717,NA,NA,NA,NA,1.88706486187954e-07,NA,NA,NA,NA
"PTAQ",47,29,"No","Unavg",0,0.677792317774131,0.0864611103661361,-2.35010621852285,-0.559780528186113,0.00301476562453218,NA,NA,NA,NA,-2.258612308423e-06,NA,NA,NA,NA
"PTAQ",47,29,"No","Unavg",1.48728922311022,0.322207682225869,0.0875077747836652,-2.18091927836588,-1.01962844414279,0.00283190021417296,NA,0.000540139226067686,NA,NA,-2.2766192991008e-06,NA,NA,NA,NA
"PTAQ",47,29,"No","Avg",NA,NA,NA,-2.29559288667199,-0.70794705936291,0.00295584498450106,NA,0.000174037008110543,NA,NA,-2.26441429915316e-06,NA,NA,NA,NA
"RHAL",24,19,"No","Unavg",0,0.656583855726124,0.273427947849992,-43.4239971715703,NA,0.0531212995567081,NA,NA,NA,NA,-1.67137513949524e-05,NA,NA,NA,NA
"RHAL",24,19,"No","Unavg",1.29621491338776,0.343416144273876,0.275572586596945,-43.3557327782888,-0.282062595123084,0.0532057888798185,NA,NA,NA,NA,-1.67403994256677e-05,NA,NA,NA,NA
"RHAL",24,19,"No","Avg",NA,NA,NA,-43.4005540768384,-0.096864848861053,0.053150314554283,NA,NA,NA,NA,-1.67229027589132e-05,NA,NA,NA,NA
"RULA",18,20,"No","Unavg",0,0.719301596467786,0.161099388013471,-18.2638085103734,NA,0.0233815915668718,NA,NA,NA,NA,-8.27593146139333e-06,NA,NA,NA,NA
"RULA",18,20,"No","Unavg",1.88199988089082,0.280698403532214,0.161493163785777,-18.3270284353656,0.118049417505253,0.0233857688754404,NA,NA,NA,NA,-8.27742666355645e-06,NA,NA,NA,NA
"RULA",18,20,"No","Avg",NA,NA,NA,-18.2815542423901,0.0331362830316323,0.023382764130718,NA,NA,NA,NA,-8.27635116225348e-06,NA,NA,NA,NA
"RUPA",33,26,"No","Unavg",0,0.396291308736586,0.0891399189402853,-4.77017743698279,NA,0.00720174312237372,NA,NA,NA,NA,-4.30763714909554e-06,NA,NA,NA,NA
"RUPA",33,26,"No","Unavg",0.135645580684979,0.370304921569055,0.103387587126748,-7.5298147956599,4.64489780957198,0.0138310830766326,NA,-0.0112752943010843,NA,NA,-7.77010899186199e-06,5.80358466317364e-06,NA,NA,NA
"RUPA",33,26,"No","Unavg",1.05875939599014,0.233403769694359,0.0914266981576853,-4.64535313917973,-0.269494695672867,0.00720958148839567,NA,NA,NA,NA,-4.31225001935348e-06,NA,NA,NA,NA
"RUPA",33,26,"No","Avg",NA,NA,NA,-5.76295027099007,1.65712744118714,0.00965844983836794,NA,-0.00417529697183101,NA,NA,-5.59088417457354e-06,2.14909596351588e-06,NA,NA,NA
"RUPE",23,30,"No","Unavg",0,0.475942463686247,0.0375351259779728,-6.59801266308088,NA,0.00746842061535638,NA,NA,NA,NA,-3.01624775240716e-06,NA,NA,NA,NA
"RUPE",23,30,"No","Unavg",0.983533164091398,0.291060279064356,0.0401990743466722,-6.75757860400297,0.291203402337584,0.00747780918777273,NA,NA,NA,NA,-3.02004625543114e-06,NA,NA,NA,NA
"RUPE",23,30,"No","Unavg",1.42854058056434,0.232997257249397,0.0442743868014301,-7.5411196635995,1.42215831621966,0.00826498233573458,NA,-0.000956614986077022,NA,NA,-3.12489819584205e-06,NA,NA,NA,NA
"RUPE",23,30,"No","Avg",NA,NA,NA,-6.86419731478838,0.416116730602469,0.00765674995194188,NA,-0.000222888667999616,NA,NA,-3.04266860107661e-06,NA,NA,NA,NA
"RUSP",15,24,"No","Unavg",0,0.189049673358139,0.0600776990122807,-3.13848453874876,0.504696936081182,0.001756302864948,NA,NA,NA,NA,-1.56241950432883e-06,NA,NA,NA,NA
"RUSP",15,24,"No","Unavg",0.251817251843647,0.166684228734017,0.0527060128364806,-2.85991817039365,NA,0.00175520644727187,NA,NA,NA,NA,-1.56009594899833e-06,NA,NA,NA,NA
"RUSP",15,24,"No","Unavg",0.330593675207069,0.16024645356643,0.052448125536518,-1.79601772961026,0.504892971378523,-0.00141232977624124,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUSP",15,24,"No","Unavg",0.583220330984602,0.141231393940688,0.0647157552718126,-2.63415424486412,-0.512909318081624,0.00128547451321546,NA,0.00123071023350904,NA,NA,-1.73122737425866e-06,NA,NA,NA,NA
"RUSP",15,24,"No","Unavg",0.58323969356627,0.141230026645107,0.0450737262601497,-1.52003847298273,NA,-0.00140794371684858,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUSP",15,24,"No","Unavg",1.19285631608574,0.104123911274572,0.0692673356363241,-1.43229533206252,-2.67836409912976,-0.00174279271530853,NA,0.00644546092041329,NA,NA,-1.22700142388911e-07,-2.6831216673494e-06,NA,NA,NA
"RUSP",15,24,"No","Unavg",1.32566273943621,0.0974343124810452,0.0557379286858591,-1.33718552960308,-0.223237800796819,-0.00198128395936471,NA,0.000874881573688012,NA,NA,NA,NA,NA,NA,NA
"RUSP",15,24,"No","Avg",NA,NA,NA,-2.22396249778599,-0.196751566412015,6.46687222207045e-06,NA,0.000930185007451015,NA,NA,-8.12697960985912e-07,-2.79377122429971e-07,NA,NA,NA
"SOSI",48,36,"No","Unavg",0,0.305661185165148,0.154528368253277,-11.547203561377,-0.356815048977881,0.0141698071072353,NA,NA,NA,NA,-4.71489786280126e-06,NA,NA,NA,NA
"SOSI",48,36,"No","Unavg",0.134654421585878,0.285759354756946,0.150451660206336,-11.687724338293,NA,0.0141303542988399,NA,NA,NA,NA,-4.70167632077322e-06,NA,NA,NA,NA
"SOSI",48,36,"No","Unavg",0.504948214852618,0.237460939114639,0.157383579654931,-11.1895941156688,-1.72479893593969,0.0140827586411228,NA,0.000956449155922534,NA,NA,-4.82836231669098e-06,NA,NA,NA,NA
"SOSI",48,36,"No","Unavg",1.16024165804896,0.171118520963267,0.159951665610888,-9.83907707524963,-6.22847918153471,0.0119017323714124,NA,0.007804580975136,NA,NA,-4.0068765386267e-06,-2.47365242760491e-06,NA,NA,NA
"SOSI",48,36,"No","Avg",NA,NA,NA,-11.21014833518,-1.58444503126223,0.0137497528934251,NA,0.00156262766798409,NA,NA,-4.61690749745601e-06,-4.23287744788948e-07,NA,NA,NA
"SPBE",17,36,"Yes","Unavg",0,0.361378257805743,0.155448734285424,-5.4863181586986,0.864778771074306,0.00760057747280663,3.39970867035477,NA,-0.00331947180466164,NA,-4.817736783399e-06,NA,NA,NA,NA
"SPBE",17,36,"Yes","Unavg",1.11842132353212,0.206585537860016,0.157759168816185,-5.58845957456505,1.00843032752621,0.00761346409091638,3.80709658028388,NA,-0.00326459954687827,-0.753946659512739,-4.82642991533105e-06,NA,NA,NA,NA
"SPBE",17,36,"Yes","Unavg",1.70787834461856,0.153851221765631,0.145731155591719,-4.53618327880919,0.855990699349116,0.00576058759015116,1.09673868509711,NA,NA,NA,-4.0670531575345e-06,NA,NA,NA,NA
"SPBE",17,36,"Yes","Unavg",1.880848455673,0.141104533422322,0.155761005725007,-5.62788811751443,0.865143129201148,0.00794158623799235,4.26144409166476,NA,-0.00593897441026348,NA,-5.00405295206061e-06,NA,1.78474683962792e-06,NA,NA
"SPBE",17,36,"Yes","Unavg",1.93871448359215,0.137080449146288,0.155609350889618,-5.640513869353,1.09223044710465,0.00779611213221909,3.41872227312233,-0.000288767955329434,-0.00334109005860697,NA,-4.81784940889986e-06,NA,NA,NA,NA
"SPBE",17,36,"Yes","Avg",NA,NA,NA,-5.40235306617829,0.924333640049268,0.00739507683189746,3.25375554268838,-3.9584441015614e-05,-0.0031700183299327,-0.155754476173201,-4.73034456053844e-06,NA,2.51835870082662e-07,NA,NA
"TITR",34,46,"No","Unavg",0,0.429039705145041,0.0553888874348112,-2.64877768320044,0.348822491186015,0.00235578387399378,NA,NA,NA,NA,-1.69827224946471e-06,NA,NA,NA,NA
"TITR",34,46,"No","Unavg",0.0859585179504165,0.410990544626109,0.0512742578257102,-2.46279589304898,NA,0.00235200425436297,NA,NA,NA,NA,-1.69511723625534e-06,NA,NA,NA,NA
"TITR",34,46,"No","Unavg",1.97312946228215,0.15996975022885,0.0554418905550339,-2.59628186100671,0.252382625013823,0.0022997491879518,NA,0.000107567042149719,NA,NA,-1.70108047572327e-06,NA,NA,NA,NA
"TITR",34,46,"No","Avg",NA,NA,NA,-2.56394318241116,0.190032284251969,0.00234526663133294,NA,1.72074728655467e-05,NA,NA,-1.69742480012066e-06,NA,NA,NA,NA
"TRBO",10,36,"No","Unavg",0,0.407033676587528,0.255841833052587,-6.47224004151006,3.80055288453854,0.0111306743618186,NA,-0.00350308516050865,NA,NA,-8.1579393468854e-06,NA,NA,NA,NA
