"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Rsquared","Intercept","Elevation.m","Elevation.m2","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi","P.Intercept","P.Elevation.m","P.Elevation.m2","P.Resurvey.Burned.fi","P.Resurvey.Unburned.fi","P.Elevation.m.Res.Burn.fi","P.Elevation.m.Res.Unburn.fi","P.Elevation.m2.Res.Burn.fi","P.Elevation.m2.Res.Unburn.fi"
"ACMI",56,10,20,"Yes","Global_unavg",0.112807984505563,-3.79745936398687,-17.9955825669524,-12.336152189076,2.71933846784899,0.282387789488031,18.9284328139019,32.9076554133437,7.78903890042133,15.4327323732801,8.34673697743852e-20,0.188848414917,0.313261867879326,2.36510151718553e-06,0.603768727832015,0.25224767568171,0.0461951526578826,0.612063034881726,0.299470624124077
"ARUV",56,42,29,"Yes","Global_unavg",0.0503528238804507,-2.28040959202361,-21.5962761760837,-8.9371837818351,0.638685690920854,-0.371521085517587,9.55262433861941,25.5318518444728,3.48093362547578,0.484798771814467,5.07252544068509e-27,0.00192279766269445,0.13117139902446,0.2234257750782,0.233826763069438,0.502827501041235,0.0083007092202443,0.795180216031956,0.957782314891349
"CARU",56,33,19,"Yes","Global_unavg",0.0805083379649684,-2.50702889624271,-16.6485357093272,-12.7340878391658,0.951943039820797,-1.40490545395289,17.0200051037368,-1.93083468106741,3.62207594580245,-26.8625825695196,1.42756004345869e-28,0.0234860878202899,0.061034204933517,0.0602269511495088,0.0202887276374526,0.213925508882792,0.911655019474487,0.789326677066504,0.152006213747794
"CEVE",56,26,21,"Yes","Global_unavg",0.132346560404031,-2.8463681881368,-17.3187334830163,-18.8379878475594,1.74968548956865,-0.69689062427617,2.89539053202251,13.3058108350976,-30.6734920484812,1.91764058546338,6.81045494175513e-25,0.052941514591276,0.0277241389573843,0.00255582057283691,0.131030378379427,0.870530062036213,0.353401511273267,0.150453406533388,0.896865830629871
"EPAN",56,18,26,"Yes","Global_unavg",0.0947418512222165,-3.27081353062762,-1.48934084073625,-25.4282138865055,2.26281290755067,0.188638180762525,-14.8818625823011,5.84585519267912,19.5110946006045,13.4038267403614,2.32207809980904e-23,0.874926886211092,0.0184441783337349,1.5797068269275e-05,0.664405828741063,0.296651244735332,0.64417904497267,0.191353037756896,0.337895066745611
"PAMY",56,127,102,"Yes","Global_unavg",0.0497701877884061,-0.704733383418326,-10.7565459077929,-11.1839878274356,0.299306903753688,-0.425743816621745,-0.650883284795678,-3.21573414915749,2.42788123943743,0.127588737872001,1.36431722698463e-09,0.00202000752434975,0.00143191711834115,0.431497123989793,0.0188456997887471,0.94578757234724,0.56364479164402,0.803439987266814,0.981581298428051
"VAME",56,95,110,"Yes","Global_unavg",0.0980890059941149,-1.25553807024741,11.6928442890255,-22.3396497693092,-1.86487400726088,0.308509828759925,51.5627615718227,-6.25356322774532,NA,NA,1.55301512659624e-20,0.00449051260583345,1.25440928150383e-12,0.0783158145584738,0.0840829231771618,0.0246093430521467,0.274781162887026,NA,NA
"ACMI",57,10,22,"Yes","Global_unavg",0.150198624893805,-3.79745936398687,-17.9955825669526,-12.3361521890761,3.02214638652587,0.0110333071726358,18.0742099688586,44.6529719318198,5.52818401045272,-0.684112299119477,8.34673697743319e-20,0.188848414916992,0.313261867879319,6.61631392133129e-08,0.986074311946874,0.267147172565245,0.020800163492032,0.714843351778787,0.967354717046866
"ARUV",57,42,27,"Yes","Global_unavg",0.0554790666973999,-2.28040959202362,-21.5962761760837,-8.9371837818351,0.638685690920854,-0.487980492191584,9.5526243386194,21.4320968040806,3.48093362547578,-1.8859738347032,5.07252544068479e-27,0.00192279766269453,0.13117139902446,0.223425775078201,0.130920137253904,0.502827501041236,0.0336817577542497,0.795180216031956,0.84605748913346
"CARU",57,33,17,"Yes","Global_unavg",0.0794768564620654,-2.50702889624272,-16.6485357093272,-12.7340878391658,0.951943039820797,-1.28737562753464,17.0200051037368,6.19935282090311,3.62207594580243,-16.0236251284114,1.42756004345852e-28,0.0234860878202899,0.0610342049335168,0.0602269511495086,0.0146327829283054,0.213925508882793,0.693358744055207,0.789326677066505,0.341829650075642
