"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi"
"SOSI",100,48,23,"No","Unavg",0.158458956160146,-11.3085032285387,NA,NA,-0.872465743847856,NA,NA,NA,NA,NA,NA,NA,NA
"SPBE",100,17,30,"No","Unavg",0.113229081694231,-3.60288439740832,NA,NA,0.63413617594107,NA,NA,NA,NA,NA,NA,NA,NA
"TITR",100,34,40,"No","Unavg",0.0458167940726976,-2.80340348591314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TRBO",100,10,30,"No","Unavg",0.229069145833829,-5.21920309957565,NA,NA,2.34690947534311,NA,NA,NA,NA,NA,NA,NA,NA
"VAME",100,95,110,"Yes","Unavg",0.100869397826026,-1.26611076640254,11.8328310796807,-23.0858812698102,NA,NA,NA,-1.59668786387047,0.29690772686873,51.2503534788476,-7.5668411807307,NA,NA
"VASI",100,24,26,"No","Unavg",0.176669539376776,-11.4843158826454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACCI",11,72,58,"No","Unavg",0.245949442458693,-2.30750803485847,NA,NA,-0.315263261678458,NA,NA,NA,NA,NA,NA,NA,NA
"ACGL",11,15,13,"No","Unavg",0.0613688073155344,-4.49001638185933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACMI",11,10,22,"Yes","Unavg",0.120142829883801,-3.66877491294765,-11.9687996511321,NA,NA,NA,NA,2.6725970911922,0.210898268520786,6.05897559257435,29.2754282404173,NA,NA
"AMAL",11,42,41,"No","Unavg",0.1167134474182,-3.18535397397474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",11,42,29,"Yes","Unavg",0.045040578345536,-2.25511039904564,-20.4529991914051,-7.09099259288284,NA,NA,NA,0.311181289252994,-0.332549569953851,2.18724970739141,22.2759953944097,NA,NA
"ATFI",11,24,29,"No","Unavg",0.0762355936527234,-1.58670608450708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAME",11,32,31,"No","Unavg",0.391778289965179,-27.0944908588481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARU",11,33,20,"Yes","Unavg",0.0523172408279667,-2.50496088957703,-14.6633533735412,-14.8574668976031,NA,NA,NA,0.389162039163106,-0.684869399111685,NA,NA,NA,NA
"CEVE",11,26,20,"Yes","Unavg",0.112273061566078,-2.87662266281366,-11.8177208543003,-23.9399642647109,NA,NA,NA,1.81836077931271,-0.827422570380621,NA,NA,NA,NA
"CHUM",11,61,48,"No","Unavg",0.147327442582712,-4.2087533662332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CLUN",11,44,51,"No","Unavg",0.14199855247219,-7.06755327707566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COCA",11,20,24,"No","Unavg",0.106667021452712,-3.77641243966306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EPAN",11,18,24,"Yes","Unavg",0.120247709610187,-3.21321535715349,-1.14033777986441,-22.4971791573538,NA,NA,NA,2.07345262711165,-0.191070649024338,-29.4968626669671,6.97863618316209,NA,NA
"GAOV",11,11,10,"No","Unavg",0.0999685696155371,-12.515294517171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GASH",11,21,20,"No","Unavg",0.210939124795974,-0.843547081091111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOOB",11,20,41,"No","Unavg",0.103988147692594,-3.56915409385923,NA,NA,0.815050889959715,NA,NA,NA,NA,NA,NA,NA,NA
"GYDR",11,17,24,"No","Unavg",0.0680524570158973,-4.86155589760525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIAL",11,12,10,"No","Unavg",0.0653092087918908,-2.50311742091072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HODI",11,17,9,"No","Unavg",0.15634639106767,-4.78206510537983,-76.6638873307292,-21.6019636065179,-0.680270195721213,NA,NA,NA,NA,NA,NA,NA,NA
"LIBO",11,48,66,"No","Unavg",0.199867339094984,-5.04832277968069,NA,NA,0.441297436618685,NA,NA,NA,NA,NA,NA,NA,NA
"MANE",11,61,55,"No","Unavg",0.259962325082535,-4.2481086317091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MEFE",11,26,17,"No","Unavg",0.0453164226106809,-4.18447779350177,NA,NA,-6.21318834583211,NA,NA,NA,NA,NA,NA,NA,NA
"OPHO",11,29,16,"No","Unavg",0.146147908802004,-0.47669435070513,NA,NA,-10.7727776576291,NA,NA,NA,NA,NA,NA,NA,NA
"PAMY",11,127,112,"Yes","Unavg",0.0468143850326433,-0.70133685832804,-11.2827048881857,-9.96503042556461,NA,NA,NA,0.788150553024452,-0.306319924213531,NA,NA,NA,NA
"POMU",11,20,9,"No","Unavg",0.191532427466599,0.222123039118203,NA,NA,-0.884907987515455,NA,NA,NA,NA,NA,NA,NA,NA
"PTAQ",11,47,20,"No","Unavg",0.110531035667465,-2.3619995625193,NA,NA,-0.968123061156307,NA,NA,NA,NA,NA,NA,NA,NA
"RULA",11,18,11,"No","Unavg",0.180828313858539,-23.9312536701021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUPA",11,33,20,"No","Unavg",0.109137436564715,-5.53086280387525,NA,NA,-0.555481359410175,NA,NA,NA,NA,NA,NA,NA,NA
"RUPE",11,23,20,"No","Unavg",0.0406446393914431,-7.20233147399518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUSP",11,15,21,"No","Unavg",0.0546987298950746,-2.12312748886591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOSI",11,48,24,"No","Unavg",0.144768714988829,-10.3527618476014,NA,NA,-0.818695028806082,NA,NA,NA,NA,NA,NA,NA,NA
"SPBE",11,17,31,"No","Unavg",0.113817085407474,-3.74188278208645,NA,NA,0.671390771648353,NA,NA,NA,NA,NA,NA,NA,NA
"TITR",11,34,38,"No","Unavg",0.0506791715964326,-2.765114493884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
