"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Mod.ID","deltaAIC","Weight","Rsquared","Intercept","Data.Type","Elevation.m","Fires","Data.Type.Elevation.m","Elevation.m.Fires","Data.Type.Fires","Elevation.m2","Data.Type.Elevation.m2","Elevation.m2.Fires","Data.Type.Elevation.m.Fires","Data.Type.Elevation.m2.Fires"
"EPAN",1,18,24,"Yes","Unavg","Mod.73",1.71256060960309,0.0810209467141116,0.088746028979118,-2.98315349134716,-0.297130961649591,NA,0.120952610417676,NA,NA,2.42536266749884,NA,NA,NA,NA,NA
"EPAN",1,18,24,"Yes","Unavg","Mod.79",1.0396001715838,0.113430230840305,0.103248742280936,-4.76503906921154,-0.297427737646252,0.00390116504638719,0.269584467694736,NA,NA,2.47063429768269,-1.79433541836425e-06,NA,NA,NA,NA
"EPAN",1,18,24,"Yes","Avg",NA,NA,NA,NA,-6.78758855167877,2.88958811244826,0.00744467107050291,0.218178201097253,-0.00630143605355325,0.00136636149746525,2.22626133909148,-3.19486332171159e-06,2.72729326645557e-06,-1.08059973590383e-06,0.000226432195272211,0
"GAOV",1,11,9,"No","Unavg","Mod.6",0,0.710826136182303,0.0968564715655931,-12.4878317113256,NA,0.0177467306746144,NA,NA,NA,NA,-7.91453629929292e-06,NA,NA,NA,NA
"GAOV",1,11,9,"No","Unavg","Mod.7",1.798799507143,0.289173863817697,0.0979515802488387,-12.3925937917813,-0.206216999874911,0.0177513296307359,NA,NA,NA,NA,-7.91625474664042e-06,NA,NA,NA,NA
"GAOV",1,11,9,"No","Avg",NA,NA,NA,NA,-12.460291394149,-0.0596325666387214,0.0177480605725256,0,0,0,0,-7.91503322935216e-06,0,0,0,0
"GASH",1,21,19,"No","Unavg","Mod.2",0,0.504375673932822,0.196504419558558,0.336328221477243,NA,-0.00394374081273422,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GASH",1,21,19,"No","Unavg","Mod.3",1.88798775895728,0.19623786016529,0.196864720379264,0.393136897889352,-0.114545728832909,-0.00394502166277705,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GASH",1,21,19,"No","Unavg","Mod.6",1.04317221660432,0.299386465901888,0.199582170993786,-0.54662298178464,NA,-0.00123543164125625,NA,NA,NA,NA,-1.81876518935711e-06,NA,NA,NA,NA
"GASH",1,21,19,"No","Avg",NA,NA,NA,NA,0.083132594266783,-0.0224782087172436,-0.00313316105258736,0,0,0,0,-5.44513682347003e-07,0,0,0,0
"GOOB",1,20,42,"No","Unavg","Mod.15",0.135402796074288,0.370872858276492,0.121659719242235,-5.10461858995393,1.96670861713884,0.00663080428733167,NA,-0.00133845306641235,NA,NA,-3.82782345147832e-06,NA,NA,NA,NA
"GOOB",1,20,42,"No","Unavg","Mod.31",1.07126688256204,0.23227621852661,0.124160110517244,-3.93104235718182,-0.049542577939257,0.00395056384925054,NA,0.00345761710196434,NA,NA,-2.4786985144455e-06,-2.53766667118444e-06,NA,NA,NA
"GOOB",1,20,42,"No","Unavg","Mod.7",0,0.396850923196898,0.11727849075356,-4.2573328145166,0.848079849830324,0.00548725242779999,NA,NA,NA,NA,-3.67486471497209e-06,NA,NA,NA,NA
"GOOB",1,20,42,"No","Avg",NA,NA,NA,NA,-4.49577859825902,1.05445255492535,0.0055544285624534,0,0.000306726311147931,0,0,-3.45375199699086e-06,-5.89439618263733e-07,0,0,0
"GYDR",1,17,22,"No","Unavg","Mod.6",0,0.654992441876284,0.0643996890606674,-4.20298759914172,NA,0.00480294890307901,NA,NA,NA,NA,-3.05044331068754e-06,NA,NA,NA,NA
"GYDR",1,17,22,"No","Unavg","Mod.7",1.28211474410426,0.345007558123716,0.0667523091264089,-4.35550199946718,0.282890586353047,0.00481041861619258,NA,NA,NA,NA,-3.05470416325814e-06,NA,NA,NA,NA
"GYDR",1,17,22,"No","Avg",NA,NA,NA,NA,-4.25560621997671,0.0975993904138512,0.00480552601056021,0,0,0,0,-3.05191333702845e-06,0,0,0,0
"HIAL",1,12,10,"No","Unavg","Mod.2",0,0.371624771863441,0.0719402668804947,-1.63151494016641,NA,-0.002017847832833,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIAL",1,12,10,"No","Unavg","Mod.3",1.81475754619305,0.149980591291188,0.0728765694525476,-1.5408510186192,-0.188576903392451,-0.00201854305459937,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIAL",1,12,10,"No","Unavg","Mod.6",0.172310644328121,0.340947785979557,0.0811782693440803,-3.20402918463325,NA,0.00198690087114481,NA,NA,NA,NA,-2.15767076054615e-06,NA,NA,NA,NA
"HIAL",1,12,10,"No","Unavg","Mod.7",1.98929472841104,0.137446850865814,0.0821033179454034,-3.11326898535948,-0.187267823658992,0.00198426916761603,NA,NA,NA,NA,-2.15658216368435e-06,NA,NA,NA,NA
"HIAL",1,12,10,"No","Avg",NA,NA,NA,NA,-2.35772478894574,-0.0540222481050842,-0.000102463520070606,0,0,0,0,-1.03206849571283e-06,0,0,0,0
"HODI",1,17,10,"No","Unavg","Mod.11",0.886755961184832,0.139581589611664,0.159577165771047,-0.699793044158988,0.707081302928431,-0.00265632807042907,NA,-0.00205500920868608,NA,NA,NA,NA,NA,NA,NA
"HODI",1,17,10,"No","Unavg","Mod.15",0,0.217462687187568,0.172043555711588,-3.01412054152133,1.65466939859012,0.0037065485984279,NA,-0.003586629333333,NA,NA,-3.80706495016271e-06,NA,NA,NA,NA
"HODI",1,17,10,"No","Unavg","Mod.2",0.472848698933376,0.171674962004512,0.144090705871828,-0.555023341017091,NA,-0.00324087480020794,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HODI",1,17,10,"No","Unavg","Mod.3",0.485430408378477,0.170598369652579,0.152673326542976,-0.292360615610744,-0.576752246545242,-0.00325479886028959,NA,NA,NA,NA,NA,NA,NA,NA,NA
