"new_Model_id","X.Intercept.","AIC","logLik","Data.TypeResurvey","Elevation.m","Elevation.m2","Data.TypeResurvey.Elevation.m","Data.TypeResurvey.Elevation.m2","Model_id","Has_warning","Probability_warning","Converge_warning","Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","FiresBurned","Data.TypeResurvey.FiresBurned","Elevation.m.FiresBurned","Elevation.m2.FiresBurned","Data.TypeResurvey.Elevation.m.FiresBurned","Data.TypeResurvey.Elevation.m2.FiresBurned"
"Mod.95",-2.84065980729594,239.479742713225,-112.739871356613,-1.61564180065817,-0.000487532288604566,-2.0067516262569e-07,0.00168229029724126,NA,"95",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",0.00431963466633128,2.24033853604201,NA,NA,NA,NA
"Mod.991",-4.51306428323412,237.956816370951,-108.978408185476,-3.38327402459942,0.00282888318217132,-1.59012563903569e-06,0.00297322714177842,NA,"991",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",7.61856594740663,0.115983181645779,-0.0155792628896779,2.27209856888176e-06,0.00794507889862261,NA
"Mod.0",-2.05076032967503,524.897600046386,-261.448800023193,NA,NA,NA,NA,NA,"0",FALSE,FALSE,FALSE,"AMAL",1,42,42,"Yes","Unavg.w.warn",NA,NA,NA,NA,NA,NA
"Mod.1",-2.05229055182688,526.897425504739,-261.44871275237,0.00306278947369806,NA,NA,NA,NA,"1",FALSE,FALSE,FALSE,"AMAL",1,42,42,"Yes","Unavg.w.warn",NA,NA,NA,NA,NA,NA
"Mod.10",-0.288180026466481,483.466842808985,-238.733421404493,NA,-0.00186166213695197,NA,NA,NA,"10",FALSE,FALSE,FALSE,"AMAL",1,42,42,"Yes","Unavg.w.warn",0.178632586577315,NA,NA,NA,NA,NA
"Mod.1023",-3.5971417430025,483.613268318532,-230.806634159266,0.585144191307053,0.00605271696975782,-4.14222800420883e-06,-0.00138053282656959,8.18393619525207e-07,"1023",FALSE,FALSE,FALSE,"AMAL",1,42,42,"Yes","Unavg.w.warn",2.08876815629046,0.0784883358359909,-0.00368268927895724,1.97139168559255e-06,-0.00100042746641686,NA
"Mod.11",-0.29003029863236,485.466603043852,-238.733301521926,0.00370479754644653,-0.00186166206531621,NA,NA,NA,"11",FALSE,FALSE,FALSE,"AMAL",1,42,42,"Yes","Unavg.w.warn",0.178629379520844,NA,NA,NA,NA,NA
"Mod.127",-3.26192876463419,478.503209721681,-231.251604860841,0.580357965260845,0.00523975058123762,-3.70202117433096e-06,-0.00125508737288304,6.84715223914355e-07,"127",FALSE,FALSE,FALSE,"AMAL",1,42,42,"Yes","Unavg.w.warn",0.636254349872953,-0.613725231289636,NA,NA,NA,NA
"Mod.138",-0.322027420503324,485.356994600855,-238.678497300427,NA,-0.00182116398377292,NA,NA,NA,"138",FALSE,FALSE,FALSE,"AMAL",1,42,42,"Yes","Unavg.w.warn",0.416041930795692,NA,-0.000310589178270636,NA,NA,NA
"Mod.139",-0.323880625042978,487.35675417842,-238.67837708921,0.0037106052897584,-0.00182116388751637,NA,NA,NA,"139",FALSE,FALSE,FALSE,"AMAL",1,42,42,"Yes","Unavg.w.warn",0.416039454977268,NA,-0.000310590092750405,NA,NA,NA
"Mod.14",-2.96155252306739,471.205491114014,-231.602745557007,NA,0.0045863139428511,-3.3436466795e-06,NA,NA,"14",FALSE,FALSE,FALSE,"AMAL",1,42,42,"Yes","Unavg.w.warn",0.346953182397235,NA,NA,NA,NA,NA
"Mod.142",-3.03872248147555,473.026130053229,-231.513065026615,NA,0.00471048467632517,-3.3758817765673e-06,NA,NA,"142",FALSE,FALSE,FALSE,"AMAL",1,42,42,"Yes","Unavg.w.warn",0.742617478893345,NA,-0.000538405978289709,NA,NA,NA
"Mod.143",-3.04138680775505,475.025647442509,-231.512823721255,0.0052679404269467,0.0047105654906911,-3.37592379404831e-06,NA,NA,"143",FALSE,FALSE,FALSE,"AMAL",1,42,42,"Yes","Unavg.w.warn",0.742620139940355,NA,-0.000538415438295628,NA,NA,NA
"Mod.15",-2.96420071648642,473.205013632202,-231.602506816101,0.00523925248943176,0.00458639113075278,-3.34368714229964e-06,NA,NA,"15",FALSE,FALSE,FALSE,"AMAL",1,42,42,"Yes","Unavg.w.warn",0.346948942396014,NA,NA,NA,NA,NA
