"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","P.Intercept","P.Elevation.m","P.Elevation.m2","P.Data.Type.nofi","P.Data.Type.Elevation.m.nofi","P.Data.Type.Elevation.m2.nofi","Intercept.CI.Lower","Elevation.m.CI.Lower","Elevation.m2.CI.Lower","Data.Type.nofi.CI.Lower","Data.Type.Elevation.m.nofi.CI.Lower","Data.Type.Elevation.m2.nofi.CI.Lower","Intercept.CI.Upper","Elevation.m.CI.Upper","Elevation.m2.CI.Upper","Data.Type.nofi.CI.Upper","Data.Type.Elevation.m.nofi.CI.Upper","Data.Type.Elevation.m2.nofi.CI.Upper"
"CAME",100,32,28,"No","Global_unavg",0.394282547571695,-26.3371259521156,NA,NA,-0.715520390514705,NA,NA,0.0582141780513844,NA,NA,0.969971303827269,NA,NA,-59.2787121829763,NA,NA,-38.6468241614806,NA,NA,-6.74442159134818,NA,NA,38.3780924089349,NA,NA
"CHUM",100,61,49,"No","Global_unavg",0.164033462259834,-3.79584260597698,NA,NA,-0.613011757853903,NA,NA,0.000888132151127524,NA,NA,0.743625205090578,NA,NA,-6.21598990192787,NA,NA,-4.45339282820748,NA,NA,-1.71196008301992,NA,NA,2.97858412832632,NA,NA
"CLUN",100,44,50,"No","Global_unavg",0.142393876851539,-8.06901401948563,NA,NA,1.84527825840605,NA,NA,6.94310886261788e-06,NA,NA,0.432911827616501,NA,NA,-11.9626123342997,NA,NA,-2.73472143498341,NA,NA,-4.8925534486602,NA,NA,6.5997836573186,NA,NA
"COCA",100,20,22,"No","Global_unavg",0.096279581598073,-2.82923291787381,NA,NA,-1.55170261769904,NA,NA,0.0640296130879148,NA,NA,0.505357640791667,NA,NA,-6.25283743294448,NA,NA,-6.33920167631753,NA,NA,-0.158295537343837,NA,NA,3.02120218732116,NA,NA
"GAOV",100,11,9,"No","Global_unavg",0.0980181530547044,-12.0926121369894,NA,NA,-0.889895971822213,NA,NA,0.00289034634440143,NA,NA,0.886233294693865,NA,NA,-21.8500784657227,NA,NA,-14.2856329110279,NA,NA,-5.60261462017855,NA,NA,11.4720939098405,NA,NA
"GASH",100,21,22,"No","Global_unavg",0.195280795099745,0.174116626213047,NA,NA,-1.19332340412978,NA,NA,0.906967144879647,NA,NA,0.556077512200969,NA,NA,-3.15525160956482,NA,NA,-5.2141713715827,NA,NA,2.82852103487195,NA,NA,2.92739875289214,NA,NA
"GOOB",100,20,40,"No","Global_unavg",0.127172090249948,-3.93104235723641,NA,NA,-2.28500554072753,NA,NA,0.0136229438481396,NA,NA,0.330320777964955,NA,NA,-7.47275650417718,NA,NA,-6.99876848865509,NA,NA,-1.14647000820499,NA,NA,2.37128461183757,NA,NA
"GYDR",100,17,25,"No","Global_unavg",0.0642085774425553,-4.06023197302251,NA,NA,-0.160479733462041,NA,NA,0.0227901032155796,NA,NA,0.94510081652979,NA,NA,-8.11400121096571,NA,NA,-4.67237877871359,NA,NA,-1.00266995800557,NA,NA,4.67367272343603,NA,NA
"HIAL",100,12,8,"No","Global_unavg",0.0642509054949235,-4.02669499999567,NA,NA,1.77182161566162,NA,NA,0.0443762810194612,NA,NA,0.518082964526136,NA,NA,-8.6910777694353,NA,NA,-3.74913146922888,NA,NA,-0.659120786165006,NA,NA,7.42191823887173,NA,NA
"HODI",100,17,9,"No","Global_unavg",0.167024453334291,-4.75186648692755,-77.1702399628026,-27.3159923923378,-2.09392065337979,-38.8921275839472,NA,6.01006204482128e-06,0.0263262260631702,0.112457614784592,0.0984321046917341,0.216385468162762,NA,-7.49939822314454,-166.068810094001,-68.8700369263172,-4.94921904836046,NA,NA,-3.29071511002053,-28.2139390260833,-0.609164317289212,0.0916274023263349,NA,NA
"LIBO",100,48,64,"No","Global_unavg",0.203468307366146,-5.43148845887472,NA,NA,0.974475045169749,NA,NA,0.000597052395487268,NA,NA,0.640269885231611,NA,NA,-8.88366542255837,NA,NA,-3.07289300797785,NA,NA,-2.63597778191245,NA,NA,5.20461809517822,NA,NA
"MANE",100,61,58,"No","Global_unavg",0.261318080562367,-4.21683661421821,NA,NA,0.631085109705221,NA,NA,0.00527584122874361,NA,NA,0.763972041792342,NA,NA,-7.47452365878468,NA,NA,-3.52339003060611,NA,NA,-1.50011989044111,NA,NA,4.81801824796589,NA,NA
"MEFE",100,26,16,"No","Global_unavg",0.043599210634823,-4.18447779350176,NA,NA,-5.78601209226797,NA,NA,0.00344356197378141,NA,NA,0.0745944271989885,NA,NA,-7.29749189236028,NA,NA,-12.970377650312,NA,NA,-1.64042190066333,NA,NA,0.020391870116309,NA,NA
"OPHO",100,29,16,"No","Global_unavg",0.133579542688581,-0.47669435070512,NA,NA,-7.26420043350833,NA,NA,0.668298329761226,NA,NA,0.0134171831959708,NA,NA,-2.83464369929916,NA,NA,-13.9231034386655,NA,NA,1.59282312186692,NA,NA,-2.17417413806526,NA,NA
"POMU",100,20,11,"No","Global_unavg",0.215488994907515,0.903939944974636,NA,NA,0.163460654236328,NA,NA,0.459499744153001,NA,NA,0.930085592766489,NA,NA,-1.69002437247376,NA,NA,-3.60698159863435,NA,NA,3.21354443448871,NA,NA,3.84569802110479,NA,NA
"PTAQ",100,47,17,"No","Global_unavg",0.11928473401194,-2.74106709139399,NA,NA,-1.82686441416013,NA,NA,0.0131693056519907,NA,NA,0.38971605474366,NA,NA,-5.08845187308507,NA,NA,-6.37758273064563,NA,NA,-0.719788328570165,NA,NA,2.09698881423513,NA,NA
"RULA",100,18,10,"No","Global_unavg",0.194219147541768,-27.1983603497134,NA,NA,5.92207565103383,NA,NA,0.00198926159982029,NA,NA,0.630639156842496,NA,NA,-48.6900296850367,NA,NA,-20.7107562724771,NA,NA,-13.7720262187337,NA,NA,31.2834246958723,NA,NA
"RUPA",100,33,20,"No","Global_unavg",0.115428051168048,-7.49810947081765,NA,NA,3.32990673597161,NA,NA,0.000203426930417244,NA,NA,0.20420007415441,NA,NA,-11.9760191850088,NA,NA,-1.80060458432764,NA,NA,-4.0057573269497,NA,NA,8.68585453912381,NA,NA
"RUPE",100,23,23,"No","Global_unavg",0.0440098428921032,-8.19479331733687,NA,NA,2.0015011182428,NA,NA,0.000186263924032603,NA,NA,0.480358611834641,NA,NA,-13.1161904028643,NA,NA,-3.49713853278414,NA,NA,-4.4219587468283,NA,NA,7.84852546079234,NA,NA
"RUSP",100,15,22,"No","Global_unavg",0.0721726048544538,-1.43069033807599,NA,NA,-2.35253568504649,NA,NA,0.301953842913628,NA,NA,0.256160586387517,NA,NA,-4.48469264177876,NA,NA,-6.56194959253963,NA,NA,1.05946689522148,NA,NA,1.72342276394747,NA,NA
"SOSI",100,48,23,"No","Global_unavg",0.164077799980337,-9.81888433448535,NA,NA,-8.53941727927975,NA,NA,9.20366917859274e-07,NA,NA,0.134278572273356,NA,NA,-14.2078371616974,NA,NA,-21.8785209750122,NA,NA,-6.30368977494648,NA,NA,1.04796588165584,NA,NA
"SPBE",100,17,30,"No","Global_unavg",0.113506556202141,-3.99208000158813,NA,NA,1.24260719967485,NA,NA,0.031343450203028,NA,NA,0.587112916965505,NA,NA,-8.25689114831658,NA,NA,-3.07979464113989,NA,NA,-0.844284047014566,NA,NA,6.11627297739401,NA,NA
