"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Intercept.CI.Lower","Elevation.m.CI.Lower","Elevation.m2.CI.Lower","Data.Type.nofi.CI.Lower","Data.Type.Elevation.m.nofi.CI.Lower","Data.Type.Elevation.m2.nofi.CI.Lower","Resurvey.Burned.fi.CI.Lower","Resurvey.Unburned.fi.CI.Lower","Elevation.m.Res.Burn.fi.CI.Lower","Elevation.m.Res.Unburn.fi.CI.Lower","Elevation.m2.Res.Burn.fi.CI.Lower","Elevation.m2.Res.Unburn.fi.CI.Lower","Intercept.CI.Upper","Elevation.m.CI.Upper","Elevation.m2.CI.Upper","Data.Type.nofi.CI.Upper","Data.Type.Elevation.m.nofi.CI.Upper","Data.Type.Elevation.m2.nofi.CI.Upper","Resurvey.Burned.fi.CI.Upper","Resurvey.Unburned.fi.CI.Upper","Elevation.m.Res.Burn.fi.CI.Upper","Elevation.m.Res.Unburn.fi.CI.Upper","Elevation.m2.Res.Burn.fi.CI.Upper","Elevation.m2.Res.Unburn.fi.CI.Upper"
"GOOB",72,20,42,"No","Avg.Confidence",-7.44674003824322,0.000383170134621264,-6.67206375305995e-06,-2.15532863535537,-0.00545691519618777,-4.05921241796292e-06,NA,NA,NA,NA,NA,NA,-2.08995168774576,0.0119105470854661,-7.98456108298779e-07,3.53366374868556,0.00713067074192998,2.69639670550463e-06,NA,NA,NA,NA,NA,NA
"GYDR",72,17,22,"No","Avg.Confidence",-6.63234153638383,-0.000322485100190869,-5.39217373138715e-06,-0.369729379605306,NA,NA,NA,NA,NA,NA,NA,NA,-1.94195422268447,0.00971709811611698,-4.17645997994801e-07,0.564364820014908,NA,NA,NA,NA,NA,NA,NA,NA
"HIAL",72,12,10,"No","Avg.Confidence",-5.76628484956812,-0.00595196622121175,-5.35705513720843e-06,-0.427133211297217,NA,NA,NA,NA,NA,NA,NA,NA,0.0725435180577514,0.00800982930666255,2.16238469581651e-06,0.359200497208832,NA,NA,NA,NA,NA,NA,NA,NA
"HODI",72,17,10,"No","Avg.Confidence",-5.00433664216568,-0.00821645693294917,-7.58035461711606e-06,-1.9863069406844,-0.00431581550165884,NA,NA,NA,NA,NA,NA,NA,1.46938700723428,0.00916344618811925,3.23521245209799e-06,2.29953628801068,0.00263389612413307,NA,NA,NA,NA,NA,NA,NA
"LIBO",72,48,65,"No","Avg.Confidence",-7.16494010952343,0.00602202243268111,-1.0423819342203e-05,-0.683431803074472,-0.00170252102913451,NA,NA,NA,NA,NA,NA,NA,-2.85815505554063,0.0161781565360957,-4.52513131046515e-06,1.8234301732389,0.00108234628932237,NA,NA,NA,NA,NA,NA,NA
"MANE",72,61,55,"No","Avg.Confidence",-6.69762367242067,0.00650627422937065,-1.36237010515461e-05,-0.322933167620704,NA,NA,NA,NA,NA,NA,NA,NA,-2.33079981600768,0.0184663791212559,-5.70231546677838e-06,0.233390809869483,NA,NA,NA,NA,NA,NA,NA,NA
"MEFE",72,26,12,"No","Avg.Confidence",-7.87841480236893,-0.00216361042509479,-3.61393009896572e-06,-17.6037894709343,-0.00856253513178173,-1.2007172231628e-05,NA,NA,NA,NA,NA,NA,-1.55610679863728,0.00925874614138618,1.06727715962669e-06,4.26762329767358,0.0294531060240053,3.48315448686788e-06,NA,NA,NA,NA,NA,NA
"OPHO",72,29,16,"No","Avg.Confidence",-2.83464369929916,-0.00653323138694451,-3.92524293565366e-06,-16.1685263418016,0.00452686174325016,-1.60546894357657e-05,NA,NA,NA,NA,NA,NA,1.59282312186693,0.00416459263537014,1.91076846763455e-06,-3.21059099676405,0.0329740193432107,-1.1416410497237e-06,NA,NA,NA,NA,NA,NA
"PAMY",72,127,105,"Yes","Avg.Confidence",-2.84687109043663,0.00141726222119455,-2.69080484019037e-06,NA,NA,NA,-0.302108160737255,-0.700207875119424,NA,NA,NA,NA,-0.818881178207287,0.00538941747829115,-9.34093097213936e-07,NA,NA,NA,1.14663182226272,-0.0392166453394613,NA,NA,NA,NA
"POMU",72,20,12,"No","Avg.Confidence",-1.07463927364861,-0.00626747181899923,-1.08398037329901e-06,-1.6252012022819,-0.00113648729404852,NA,NA,NA,NA,NA,NA,NA,1.46502332865249,-0.0015028744370254,1.16612554311045e-06,0.722329621245109,0.00135007848704794,NA,NA,NA,NA,NA,NA,NA
