"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","P.Intercept","P.Elevation.m","P.Elevation.m2","P.Data.Type.nofi","P.Data.Type.Elevation.m.nofi","P.Data.Type.Elevation.m2.nofi","Intercept.CI.Lower","Elevation.m.CI.Lower","Elevation.m2.CI.Lower","Data.Type.nofi.CI.Lower","Data.Type.Elevation.m.nofi.CI.Lower","Data.Type.Elevation.m2.nofi.CI.Lower","Intercept.CI.Upper","Elevation.m.CI.Upper","Elevation.m2.CI.Upper","Data.Type.nofi.CI.Upper","Data.Type.Elevation.m.nofi.CI.Upper","Data.Type.Elevation.m2.nofi.CI.Upper"
"RUPA",61,33,20,"No","Global_unavg",0.12242145890076,-7.49810947081766,0.0137856877403166,-7.75501492837298e-06,3.43553621812009,-0.00873274494795307,4.29998824033747e-06,0.000203426930417233,0.00221795452598426,0.00120942289175325,0.194473698936755,0.142651086547564,0.173302295938945,-11.9760191850088,0.00599976753600947,-1.31570926754133e-05,-1.77774346113569,-0.0208330885924927,-1.9966423231829e-06,-4.00575732694971,0.023793049572936,-3.69377206042204e-06,8.82308030357058,0.00303329944495074,1.07438280718672e-05
"RUPE",61,23,23,"No","Global_unavg",0.0451864998596622,-8.19479331733687,0.00945332212763401,-3.61352569050634e-06,1.79036995189832,-0.00221263494746427,5.43006172258351e-07,0.000186263924032593,0.0113450295610123,0.0165593861063491,0.531217667578403,0.659619831708334,0.794222553396887,-13.1161904028644,0.00286441733187768,-6.91454416337255e-06,-3.77065291660191,-0.0123637038789561,-3.5764715985414e-06,-4.42195874682828,0.017650959455895,-9.44364938064711e-07,7.67022707305758,0.00764009636914691,4.71461564999451e-06
"RUSP",61,15,20,"No","Global_unavg",0.0617451475192935,-1.43069033807597,-0.00172928287257349,-1.32429716994552e-07,-1.86549741067828,0.0043257620002491,-1.71915096995368e-06,0.301953842913634,0.586736585989573,0.933872893154151,0.35811834375607,0.336096586073791,0.438366348658754,-4.48469264177876,-0.00751405450799414,-3.82455262768035e-06,-5.96538216586893,-0.0046451642792628,-6.15074321372238e-06,1.05946689522147,0.00525132915265103,2.63424348752234e-06,2.15155054180343,0.01333107590461,2.8254423313137e-06
"SOSI",61,48,19,"No","Global_unavg",0.160951811776843,-9.81888433448536,0.0118737619552027,-3.99752698450712e-06,-5.143193725476,0.00510262616824,-1.51614156327779e-06,9.2036691785937e-07,0.000131110079883527,0.000566505299201317,0.315911111119639,0.49020937903125,0.56205785784849,-14.2078371616974,0.0062918994641708,-6.46766389058029e-06,-17.2379219411695,-0.00778421698423606,-7.40032312838249e-06,-6.30368977494643,0.0185494523479673,-1.89101406159436e-06,3.54693573660544,0.0220595193134171,3.12286895146003e-06
"SPBE",61,17,32,"No","Global_unavg",0.116887484404233,-3.99208000158815,0.00482709118672094,-3.55414867626161e-06,1.34599860067024,-0.0013511552161049,6.05272617335056e-07,0.0313434502030264,0.266393579463355,0.134419684536096,0.551845333554555,0.799043094457674,0.834583694455853,-8.25689114831657,-0.0025191960685615,-9.25859862806827e-06,-2.90094125473642,-0.0127332744454257,-4.8170363291574e-06,-0.844284047014555,0.0148714111708209,2.7404860948063e-07,6.18472339944089,0.00862606999896079,6.97901437591569e-06
"TITR",61,34,36,"No","Global_unavg",0.0427338079709007,-2.84279573756132,0.00288563664806786,-1.99379725773345e-06,0.785565748380959,-0.00199578989772615,1.12829634859528e-06,0.0157739310168058,0.250835626290591,0.100708058699642,0.617128651948573,0.546653561379143,0.471666304337164,-5.3631503992095,-0.00169829049425679,-4.63679481981e-06,-2.27745362296823,-0.00866405193052759,-1.89701054302003e-06,-0.706711301189395,0.00824162754432154,1.74535036713431e-07,3.9437790876587,0.00443262753549214,4.32515221342783e-06
"TRBO",61,10,27,"No","Global_unavg",0.206476130537443,-4.16005139126802,0.00476880108613499,-4.1178409421605e-06,-0.144298939828979,0.00592172861255638,-5.56963906774135e-06,0.0929056079932119,0.448153748773213,0.276555487498715,0.96503965263572,0.512942320762207,0.359651317398551,-10.2872595544665,-0.00507346892516691,-1.41418068273535e-05,-6.57175632373292,-0.0131624243965791,-1.83425813230935e-05,-0.21939523284061,0.020555416173863,1.32989537940001e-06,6.9776890448184,0.0241669535497,6.99197768520909e-06
"VASI",61,24,23,"No","Global_unavg",0.162320729870158,-12.9537815753902,0.012220864368853,-3.238377179036e-06,3.27650536937248,-0.00348699714625461,8.37653536394668e-07,0.00403556811084944,0.0424120543873604,0.102409465691721,0.547046296877611,0.640443746166915,0.739423956057898,-24.1262206557557,0.00250400212390601,-7.86718441142271e-06,-6.90500848826685,-0.0197715841923495,-3.98943424909994e-06,-6.03337095426746,0.0266552003270665,7.76450219301949e-08,15.554915268519,0.0106650976658336,6.1946245728238e-06
"ACCI",62,72,56,"No","Global_unavg",0.245134627479357,-2.93649124225609,0.00858033543934973,-6.93434229043763e-06,1.18498871839699,-0.00393006357424528,2.2405968483738e-06,0.0176028995840493,0.00854023645827662,0.00074314215797705,0.491611650398244,0.387432315328328,0.43376532706927,-5.54654299586958,0.00268275345703199,-1.1412608388249e-05,-2.21717995215368,-0.0129324732055633,-3.48236075041419e-06,-0.660795958606474,0.0155376849142154,-3.32836462619535e-06,4.5992052762064,0.00508122405323314,7.91585850210519e-06
"ACGL",62,15,13,"No","Global_unavg",0.0783066195659157,-3.44761529333352,0.00210821370866363,-1.5522100763812e-06,-3.99332158066417,0.0107978894239371,-6.71516305260812e-06,0.0376331766188653,0.549233324363701,0.356152761680783,0.265141494747592,0.204852186705631,0.166921345054518,-7.17206782145439,-0.00412170498773015,-5.39717927253181e-06,-12.237559397292,-0.00377594726331589,-1.8524602437861e-05,-0.565677259885613,0.00992676389432371,1.34399292271801e-06,2.31130477866715,0.0307317962276636,1.20468858593464e-06
